Model,MCC mean,MCC std,F1 macro mean,F1 macro std,Minority F1 macro mean,Minority F1 macro std,Balanced acc mean,Balanced acc std,Accuracy mean,Accuracy std
XGBoost,0.6535428472746565,0.05955838591415696,0.7512433593095144,0.050941877120833354,0.6304129333231381,0.07574277077196648,0.9282505050505051,0.05450939121764939,0.9852962298025134,0.004001724575821281
Random Forest,0.6465122759819368,0.054479475065425643,0.7398922597377674,0.0469350423956964,0.6134453851245045,0.06985602791068946,0.9245727272727272,0.053363065682213405,0.9850269299820467,0.003433523319205939
Decision Tree,0.6141844249615243,0.08125698920647284,0.7228905130041394,0.06492766722648556,0.5887211606995569,0.09617937864715889,0.9172141414141415,0.06965131449021403,0.982064631956912,0.006567714395283897
Extra Trees,0.543303822748352,0.055470875827287214,0.649891666497378,0.05448832525914275,0.48041099985380087,0.08093764095816956,0.8748414141414141,0.06343935567219922,0.9767324955116696,0.004889350561267156
Linear SVM,0.4752601198250536,0.06305447897648403,0.6009439309870211,0.05170537928767466,0.4095788076987948,0.07619896130252836,0.8723717171717172,0.07368685912149084,0.966983842010772,0.007754509081152964
Gaussian NB,0.44452229784055414,0.040367284608675856,0.5693819232288354,0.040261788128075814,0.3634591266997713,0.059475727197177045,0.8576131313131313,0.06552770508766094,0.9616157989228007,0.006068138068061953
RBF SVM,0.41490744177739963,0.053114063938706324,0.5821836874355469,0.049592799199405596,0.3821711521942774,0.07344353210611307,0.8146222222222222,0.07359333619057355,0.9641831238779175,0.006319545179704377
QDA,0.4056336444435057,0.054998896922912544,0.5833416075427212,0.047065459778147065,0.38575276629984423,0.06948723186371283,0.8297454545454545,0.07256806622442687,0.9568761220825853,0.007249611252480738
Logistic Regression,0.39072531543138944,0.0386721015126604,0.5175501173953682,0.03618041851907071,0.2900493630934989,0.05281398448626543,0.8742717171717171,0.06738358337749556,0.9456014362657092,0.008193194585772398
MLP,0.3707890619111997,0.05519321764191029,0.530870333226523,0.05129956469734789,0.31067626357947775,0.0741354640058518,0.8489616161616163,0.07133956525456397,0.9433393177737882,0.014112754652901741
KNN,0.2856886539995303,0.028416744468735884,0.45436589390272253,0.025422527036813334,0.2040860365680565,0.03632266840699865,0.7994505050505051,0.06734366965902489,0.912818671454219,0.014487649067762908
LDA,0.25192143605641926,0.02870628638224004,0.4194712296122103,0.023306090955968594,0.161199407289086,0.03330618061569826,0.7978626262626263,0.08228047779825465,0.8787073608617594,0.014519397191023294
