seed,f1_macro,f1_weighted,f1_nonhab,f1_meso,f1_psychro,prec_macro,prec_weighted,prec_nonhab,prec_meso,prec_psychro,recall_macro,recall_weighted,recall_nonhab,recall_meso,recall_psychro,accuracy,balanced_acc,mcc,minority_f1_macro
0,0.7370215990905645,0.9877515126075765,0.9926739926739927,0.6666666666666666,0.5517241379310345,0.6455026455026455,0.9931606394802085,1.0,0.5555555555555556,0.38095238095238093,0.9395959595959597,0.9847396768402155,0.9854545454545455,0.8333333333333334,1.0,0.9847396768402155,0.9395959595959597,0.6547553184507232,0.6091954022988506
1,0.6577070574396143,0.9840761900876336,0.9903625516291877,0.5,0.4827586206896552,0.5634920634920635,0.9917500213730016,1.0,0.35714285714285715,0.3333333333333333,0.8964141414141414,0.9793536804308797,0.980909090909091,0.8333333333333334,0.875,0.9793536804308797,0.8964141414141414,0.5819597852788662,0.4913793103448276
2,0.59626934768303,0.981924951475171,0.9894350022967386,0.45454545454545453,0.3448275862068966,0.5168650793650794,0.9908256390527486,1.0,0.3125,0.23809523809523808,0.8124747474747475,0.9757630161579892,0.9790909090909091,0.8333333333333334,0.625,0.9757630161579892,0.8124747474747475,0.520842227888102,0.3996865203761756
3,0.6260501228302516,0.9811870093507659,0.9880404783808647,0.46153846153846156,0.42857142857142855,0.5333333333333333,0.9912028725314184,1.0,0.3,0.3,0.9087878787878788,0.9748653500897666,0.9763636363636363,1.0,0.75,0.9748653500897666,0.9087878787878788,0.5433333042637002,0.44505494505494503
4,0.6402985393811081,0.9840735253414581,0.9908256880733946,0.5454545454545454,0.38461538461538464,0.5509259259259259,0.9914472371833233,1.0,0.375,0.2777777777777778,0.868939393939394,0.9793536804308797,0.9818181818181818,1.0,0.625,0.9793536804308797,0.868939393939394,0.5674137907127603,0.465034965034965
5,0.5767127706968861,0.9751074146583802,0.9829099307159354,0.45454545454545453,0.2926829268292683,0.49779307156067715,0.9894943281910055,0.9990610328638497,0.3125,0.18181818181818182,0.8502020202020203,0.9649910233393177,0.9672727272727273,0.8333333333333334,0.75,0.9649910233393177,0.8502020202020203,0.45013119501843657,0.3736141906873614
6,0.6415064379300968,0.9827086884520227,0.9894543787253554,0.5714285714285714,0.36363636363636365,0.5793832870798643,0.9900223046351457,0.9981498612395929,0.5,0.24,0.7991919191919191,0.9775583482944344,0.980909090909091,0.6666666666666666,0.75,0.9775583482944344,0.7991919191919191,0.5054642974082018,0.4675324675324675
7,0.6595355611295411,0.9839658347960324,0.9903713892709766,0.5882352941176471,0.4,0.5754492192975079,0.9909259556470978,0.9990749306197965,0.45454545454545453,0.2727272727272727,0.8550505050505052,0.9793536804308797,0.9818181818181818,0.8333333333333334,0.75,0.9793536804308797,0.8550505050505052,0.5525905760858612,0.49411764705882355
8,0.57769318105924,0.9776173773474481,0.9852534562211982,0.34782608695652173,0.4,0.4978729324890219,0.9896389599612019,0.9990654205607477,0.23529411764705882,0.25925925925925924,0.8378282828282829,0.9694793536804309,0.9718181818181818,0.6666666666666666,0.875,0.9694793536804309,0.8378282828282829,0.4760605827252677,0.3739130434782609
9,0.6558953448861705,0.9836915762137708,0.9899082568807339,0.4444444444444444,0.5333333333333333,0.565347923681257,0.990925109865864,0.9990740740740741,0.3333333333333333,0.36363636363636365,0.8825252525252525,0.9793536804308797,0.980909090909091,0.6666666666666666,1.0,0.9793536804308797,0.8825252525252525,0.5674305199514986,0.4888888888888889
