seed,f1_macro,f1_weighted,f1_nonhab,f1_meso,f1_psychro,prec_macro,prec_weighted,prec_nonhab,prec_meso,prec_psychro,recall_macro,recall_weighted,recall_nonhab,recall_meso,recall_psychro,accuracy,balanced_acc,mcc,minority_f1_macro
0,0.427949834512704,0.9249693440222266,0.9346246973365617,0.23255813953488372,0.11666666666666667,0.3992117117117117,0.9886093454316076,1.0,0.13513513513513514,0.0625,0.861868686868687,0.8770197486535009,0.8772727272727273,0.8333333333333334,0.875,0.8770197486535009,0.861868686868687,0.26943441768610904,0.1746124031007752
1,0.41555716689758787,0.9201494051065747,0.9299610894941635,0.2222222222222222,0.09448818897637795,0.3928750987574517,0.9884852711972788,1.0,0.1282051282051282,0.05042016806722689,0.8174747474747476,0.8680430879712747,0.8690909090909091,0.8333333333333334,0.75,0.8680430879712747,0.8174747474747476,0.24929828822871739,0.15835520559930008
2,0.4185793845588916,0.9227638436293424,0.932622394571013,0.2553191489361702,0.06779661016949153,0.39388889272636707,0.9874566374437261,0.9989615784008308,0.14634146341463414,0.03636363636363636,0.7915151515151515,0.8725314183123878,0.8745454545454545,1.0,0.5,0.8725314183123878,0.7915151515151515,0.2325405168284745,0.16155787955283085
3,0.3732219844013928,0.9189463489543289,0.9294403892944039,0.1,0.09022556390977443,0.3689411764705883,0.9880942021332769,1.0,0.058823529411764705,0.048,0.6505050505050505,0.8644524236983842,0.8681818181818182,0.3333333333333333,0.75,0.8644524236983842,0.6505050505050505,0.21461930200161172,0.09511278195488722
4,0.39582870047993707,0.9223015994008346,0.9325570111596313,0.20408163265306123,0.05084745762711865,0.38118393234672304,0.9882548081120167,1.0,0.11627906976744186,0.02727272727272727,0.693989898989899,0.86983842010772,0.8736363636363637,0.8333333333333334,0.375,0.86983842010772,0.693989898989899,0.21920981797037117,0.12746454514008992
5,0.4259965533802299,0.9182561647877227,0.9278752436647173,0.2631578947368421,0.08695652173913043,0.40080128205128207,0.9886056829167242,1.0,0.15625,0.046153846153846156,0.8162626262626262,0.8644524236983842,0.8654545454545455,0.8333333333333334,0.75,0.8644524236983842,0.8162626262626262,0.24613716043574974,0.17505720823798626
6,0.40221503068208847,0.9281197670196871,0.9382835101253616,0.16666666666666666,0.1016949152542373,0.3845062535000933,0.9873491922681075,0.9989733059548255,0.1,0.05454545454545454,0.7115151515151515,0.881508078994614,0.8845454545454545,0.5,0.75,0.881508078994614,0.7115151515151515,0.23130970270503795,0.134180790960452
7,0.4057039219866832,0.9356839215640561,0.9459588713534194,0.18604651162790697,0.0851063829787234,0.3842005241812812,0.9863561596530872,0.9979818365287588,0.10810810810810811,0.046511627906976744,0.6885858585858585,0.8949730700179533,0.899090909090909,0.6666666666666666,0.5,0.8949730700179533,0.6885858585858585,0.2234945656821315,0.1355764473033152
8,0.3774583859762308,0.9337700927597656,0.9443911792905082,0.05714285714285714,0.1308411214953271,0.368058543514933,0.9871247167469687,0.9989858012170385,0.034482758620689655,0.0707070707070707,0.6457070707070708,0.8913824057450629,0.8954545454545455,0.16666666666666666,0.875,0.8913824057450629,0.6457070707070708,0.23106363279466446,0.09399198931909211
9,0.43305197787914934,0.9419988218750277,0.9518818484992854,0.23076923076923078,0.11650485436893204,0.4043859649122807,0.9886941320986488,1.0,0.15,0.06315789473684211,0.7193939393939394,0.9048473967684022,0.9081818181818182,0.5,0.75,0.9048473967684022,0.7193939393939394,0.27230368907203784,0.1736370425690814
