seed,f1_macro,f1_weighted,f1_nonhab,f1_meso,f1_psychro,prec_macro,prec_weighted,prec_nonhab,prec_meso,prec_psychro,recall_macro,recall_weighted,recall_nonhab,recall_meso,recall_psychro,accuracy,balanced_acc,mcc,minority_f1_macro
0,0.6301020408163266,0.9726990437108415,0.9795918367346939,0.625,0.2857142857142857,0.5555555555555556,0.9913225613405146,1.0,0.5,0.16666666666666666,0.9311111111111111,0.9596050269299821,0.96,0.8333333333333334,1.0,0.9596050269299821,0.9311111111111111,0.4666775237828606,0.45535714285714285
1,0.5402792439020958,0.9668627838784134,0.9753831862517418,0.5,0.14545454545454545,0.4798000790908592,0.9871542235841866,0.9971509971509972,0.35714285714285715,0.0851063829787234,0.7626262626262627,0.9506283662477558,0.9545454545454546,0.8333333333333334,0.5,0.9506283662477558,0.7626262626262627,0.3310985066534963,0.32272727272727275
2,0.5536452390493943,0.969430608197246,0.9777571825764597,0.5263157894736842,0.1568627450980392,0.49160103389232507,0.9873723390723562,0.997164461247637,0.38461538461538464,0.09302325581395349,0.7641414141414141,0.9551166965888689,0.9590909090909091,0.8333333333333334,0.5,0.9551166965888689,0.7641414141414141,0.34666088434541,0.3415892672858617
3,0.5598828245451742,0.9714661768393849,0.9796484736355227,0.5,0.2,0.5054075867635189,0.9876526358344817,0.9971751412429378,0.4,0.11904761904761904,0.7514646464646465,0.9587073608617595,0.9627272727272728,0.6666666666666666,0.625,0.9587073608617595,0.7514646464646465,0.3607931316152442,0.35
4,0.6658360765998281,0.9769228185030518,0.9833795013850416,0.7692307692307693,0.24489795918367346,0.6198963637988028,0.9914044443973945,0.99906191369606,0.7142857142857143,0.14634146341463414,0.8505050505050505,0.9658886894075404,0.9681818181818181,0.8333333333333334,0.75,0.9658886894075404,0.8505050505050505,0.45567143285950157,0.5070643642072213
5,0.5771231696813092,0.9679790683757112,0.9758139534883721,0.5555555555555556,0.2,0.5103663003663004,0.989565042976174,0.9990476190476191,0.4166666666666667,0.11538461538461539,0.8456565656565657,0.9515260323159784,0.9536363636363636,0.8333333333333334,0.75,0.9515260323159784,0.8456565656565657,0.3916105656226105,0.37777777777777777
6,0.5926484901627437,0.9724882202651068,0.980101804720037,0.5714285714285714,0.22641509433962265,0.5438161063985758,0.9892218591699281,0.998114985862394,0.5,0.13333333333333333,0.7931313131313131,0.9596050269299821,0.9627272727272728,0.6666666666666666,0.75,0.9596050269299821,0.7931313131313131,0.3949918818418896,0.398921832884097
7,0.6225176939462654,0.9715515170760107,0.9786641929499073,0.6666666666666666,0.2222222222222222,0.5431626043039086,0.9901272994561964,0.9990530303030303,0.5,0.13043478260869565,0.903030303030303,0.9578096947935368,0.9590909090909091,1.0,0.75,0.9578096947935368,0.903030303030303,0.4304162090705048,0.4444444444444444
8,0.5601094935921364,0.9744028124859688,0.9824561403508771,0.4,0.2978723404255319,0.5036481134042109,0.9886643694499367,0.99812382739212,0.3333333333333333,0.1794871794871795,0.7807575757575758,0.9640933572710951,0.9672727272727273,0.5,0.875,0.9640933572710951,0.7807575757575758,0.41597118868210087,0.34893617021276596
9,0.5953262959987565,0.9697623658754423,0.9772621809744779,0.5714285714285714,0.23728813559322035,0.5451197224545427,0.9892394355106052,0.9981042654028436,0.5,0.13725490196078433,0.832979797979798,0.9551166965888689,0.9572727272727273,0.6666666666666666,0.875,0.9551166965888689,0.832979797979798,0.39118618799759314,0.4043583535108959
10,0.6465303470316002,0.9748934903157984,0.9814814814814815,0.631578947368421,0.32653061224489793,0.5522201375859913,0.9913197543797009,1.0,0.46153846153846156,0.1951219512195122,0.9878787878787879,0.9640933572710951,0.9636363636363636,1.0,1.0,0.9640933572710951,0.9878787878787879,0.5026049322835969,0.47905477980665945
11,0.5358089181618594,0.9645320984427546,0.972972972972973,0.42857142857142855,0.20588235294117646,0.4965848735925218,0.9884022287749749,0.9980879541108987,0.375,0.11666666666666667,0.7746969696969698,0.9461400359066428,0.9490909090909091,0.5,0.875,0.9461400359066428,0.7746969696969698,0.3461858580694714,0.3172268907563025
12,0.5770575021227548,0.963698694111656,0.9715086408220458,0.5882352941176471,0.17142857142857143,0.5167863444334578,0.9896272800743673,0.9990393852065321,0.45454545454545453,0.0967741935483871,0.842929292929293,0.9434470377019749,0.9454545454545454,0.8333333333333334,0.75,0.9434470377019749,0.842929292929293,0.36540922396774855,0.3798319327731092
13,0.516623031311426,0.9655987935002556,0.9744304974430498,0.4,0.17543859649122806,0.46163355922768723,0.9868857679096661,0.9971455756422455,0.2857142857142857,0.10204081632653061,0.7481313131313131,0.9488330341113106,0.9527272727272728,0.6666666666666666,0.625,0.9488330341113106,0.7481313131313131,0.3254072754806265,0.28771929824561404
14,0.6320617243661218,0.9749267471189904,0.9819694868238558,0.7058823529411765,0.20833333333333334,0.5565046038940676,0.9903392460710508,0.9990592662276576,0.5454545454545454,0.125,0.8634848484848484,0.9631956912028725,0.9654545454545455,1.0,0.625,0.9631956912028725,0.8634848484848484,0.4411407058978752,0.45710784313725494
15,0.5330031981842568,0.968262017362101,0.9767873723305478,0.4,0.2222222222222222,0.47141717837205,0.988034539899139,0.9981024667931688,0.2857142857142857,0.13043478260869565,0.791010101010101,0.9533213644524237,0.9563636363636364,0.6666666666666666,0.75,0.9533213644524237,0.791010101010101,0.36950916822741653,0.3111111111111111
16,0.48045075009527766,0.959743394956089,0.9691300280636108,0.3333333333333333,0.1388888888888889,0.44206607257546565,0.9874376476652034,0.9980732177263969,0.25,0.078125,0.688939393939394,0.9371633752244165,0.9418181818181818,0.5,0.625,0.9371633752244165,0.688939393939394,0.2940803157620747,0.2361111111111111
17,0.5850665324835066,0.9747768181125586,0.9824723247232472,0.5,0.2727272727272727,0.5212858926342073,0.9880102744101292,0.9971910112359551,0.4,0.16666666666666666,0.794949494949495,0.9649910233393177,0.9681818181818181,0.6666666666666666,0.75,0.9649910233393177,0.794949494949495,0.4051079028767079,0.38636363636363635
18,0.5775853106868406,0.9704379613132293,0.9782104775150672,0.5,0.2545454545454545,0.5156813408750848,0.9887882648253495,0.9981078524124882,0.4,0.14893617021276595,0.8335858585858587,0.9569120287253142,0.9590909090909091,0.6666666666666666,0.875,0.9569120287253142,0.8335858585858587,0.3981509488898988,0.37727272727272726
19,0.5420775109260781,0.9702542070117592,0.9786839666357738,0.43478260869565216,0.2127659574468085,0.47347747203190327,0.9880708723724667,0.998109640831758,0.29411764705882354,0.1282051282051282,0.8061111111111111,0.9569120287253142,0.96,0.8333333333333334,0.625,0.9569120287253142,0.8061111111111111,0.3831094486534769,0.32377428307123035
20,0.5095766249254622,0.9660569817222983,0.9748837209302326,0.3076923076923077,0.24615384615384617,0.47472013366750215,0.9880986127797052,0.9980952380952381,0.2857142857142857,0.14035087719298245,0.762020202020202,0.9497307001795332,0.9527272727272728,0.3333333333333333,1.0,0.9497307001795332,0.762020202020202,0.35763403873634464,0.27692307692307694
21,0.5781018945333533,0.9675554571517359,0.9753602975360297,0.5555555555555556,0.2033898305084746,0.5108035919727866,0.9886426678111025,0.9980970504281637,0.4166666666666667,0.11764705882352941,0.8456565656565657,0.9515260323159784,0.9536363636363636,0.8333333333333334,0.75,0.9515260323159784,0.8456565656565657,0.3775332326644243,0.3794726930320151
22,0.6262668691680641,0.9772941768198657,0.9843462246777164,0.6153846153846154,0.27906976744186046,0.5800195451314855,0.9889781344623382,0.9972014925373134,0.5714285714285714,0.17142857142857143,0.7961616161616162,0.9685816876122083,0.9718181818181818,0.6666666666666666,0.75,0.9685816876122083,0.7961616161616162,0.42511555889128344,0.44722719141323797
23,0.6717687074829932,0.9733722932620084,0.9795918367346939,0.75,0.2857142857142857,0.5888888888888889,0.991861160981448,1.0,0.6,0.16666666666666666,0.9866666666666667,0.9605026929982047,0.96,1.0,1.0,0.9605026929982047,0.9866666666666667,0.4847150909709151,0.5178571428571428
24,0.5537326792823536,0.9633987207945244,0.9716147045137273,0.5333333333333333,0.15625,0.5096545714991854,0.98576109849649,0.9952335557673975,0.4444444444444444,0.08928571428571429,0.7469191919191919,0.9452423698384201,0.9490909090909091,0.6666666666666666,0.625,0.9452423698384201,0.7469191919191919,0.28611207369777913,0.34479166666666666
25,0.5173220353943245,0.971805465197345,0.9805375347544022,0.2857142857142857,0.2857142857142857,0.47222222222222227,0.9899760622381807,1.0,0.25,0.16666666666666666,0.765050505050505,0.9587073608617595,0.9618181818181818,0.3333333333333333,1.0,0.9587073608617595,0.765050505050505,0.4204117604191371,0.2857142857142857
26,0.5830886171568859,0.970922016053196,0.978644382544104,0.5333333333333333,0.23728813559322035,0.5272331154684096,0.9908121237723096,1.0,0.4444444444444444,0.13725490196078433,0.8332828282828283,0.9560143626570916,0.9581818181818181,0.6666666666666666,0.875,0.9560143626570916,0.8332828282828283,0.4231549014140904,0.38531073446327685
27,0.5254236963318778,0.9690933792823911,0.9777158774373259,0.35294117647058826,0.24561403508771928,0.47154521632699997,0.9889906440892853,0.9990512333965844,0.2727272727272727,0.14285714285714285,0.7774242424242424,0.9542190305206463,0.9572727272727273,0.5,0.875,0.9542190305206463,0.7774242424242424,0.38746280296426333,0.29927760577915374
28,0.5583910620652013,0.9715387971144015,0.9796107506950881,0.42105263157894735,0.27450980392156865,0.48984594192753517,0.9893256569883447,0.999054820415879,0.3076923076923077,0.16279069767441862,0.8341919191919192,0.9587073608617595,0.9609090909090909,0.6666666666666666,0.875,0.9587073608617595,0.8341919191919192,0.4199607277848684,0.347781217750258
29,0.5980870463841192,0.9720938584237161,0.9796107506950881,0.5882352941176471,0.22641509433962265,0.5289778694315556,0.9899050644985694,0.999054820415879,0.45454545454545453,0.13333333333333333,0.8480808080808081,0.9587073608617595,0.9609090909090909,0.8333333333333334,0.75,0.9587073608617595,0.8480808080808081,0.4201197761166991,0.4073251942286349
30,0.6719270304878152,0.9780870940495626,0.9843173431734318,0.7058823529411765,0.32558139534883723,0.5815060719555102,0.9908821945474962,0.9990636704119851,0.5454545454545454,0.2,0.9483333333333333,0.9694793536804309,0.97,1.0,0.875,0.9694793536804309,0.9483333333333333,0.5057417697391978,0.5157318741450069
31,0.6167635908256567,0.9739262447511412,0.9810097267253358,0.5555555555555556,0.3137254901960784,0.5342377260981913,0.9910129013402362,1.0,0.4166666666666667,0.18604651162790697,0.932020202020202,0.9622980251346499,0.9627272727272728,0.8333333333333334,1.0,0.9622980251346499,0.932020202020202,0.47947601934404155,0.434640522875817
32,0.5850928711263906,0.9681685889142034,0.9757914338919925,0.5333333333333333,0.24615384615384617,0.5282651072124757,0.9908343569876218,1.0,0.4444444444444444,0.14035087719298245,0.8731313131313131,0.9515260323159784,0.9527272727272728,0.6666666666666666,1.0,0.9515260323159784,0.8731313131313131,0.4195492006811196,0.38974358974358975
33,0.5523233881280932,0.9719540426070172,0.9800833719314498,0.375,0.3018867924528302,0.49227783023817023,0.9893927346971528,0.9990557129367328,0.3,0.17777777777777778,0.8206060606060607,0.9596050269299821,0.9618181818181818,0.5,1.0,0.9596050269299821,0.8206060606060607,0.4241858999043308,0.33844339622641506
34,0.6113915715539947,0.9666974952043037,0.9738805970149254,0.625,0.23529411764705882,0.5444444444444444,0.991083183722322,1.0,0.5,0.13333333333333333,0.9274747474747475,0.9488330341113106,0.9490909090909091,0.8333333333333334,1.0,0.9488330341113106,0.9274747474747475,0.4232401451111186,0.43014705882352944
35,0.6104456479759144,0.9713835054057015,0.9786641929499073,0.6153846153846154,0.23728813559322035,0.5692455012307953,0.9905609910032234,0.9990530303030303,0.5714285714285714,0.13725490196078433,0.8335858585858587,0.9569120287253142,0.9590909090909091,0.6666666666666666,0.875,0.9569120287253142,0.8335858585858587,0.4128792312792062,0.4263363754889179
36,0.6601791782514673,0.9741137493727745,0.9805375347544022,0.7142857142857143,0.2857142857142857,0.5972222222222222,0.9919958108916815,1.0,0.625,0.16666666666666666,0.9317171717171716,0.9614003590664273,0.9618181818181818,0.8333333333333334,1.0,0.9614003590664273,0.9317171717171716,0.475467250361173,0.5
37,0.5940725760105794,0.9732533273943135,0.9810972798524665,0.7058823529411765,0.09523809523809523,0.5332002687970332,0.9861744346367054,0.9953227315247896,0.5454545454545454,0.058823529411764705,0.7390909090909091,0.9622980251346499,0.9672727272727273,1.0,0.25,0.9622980251346499,0.7390909090909091,0.3283258858025172,0.4005602240896359
38,0.6337108069405386,0.9718362362746839,0.978644382544104,0.631578947368421,0.2909090909090909,0.5439170758319695,0.9911408733365262,1.0,0.46153846153846156,0.1702127659574468,0.986060606060606,0.9587073608617595,0.9581818181818181,1.0,1.0,0.9587073608617595,0.986060606060606,0.4759837868228999,0.46124401913875596
39,0.5382993831269692,0.9635439536077187,0.9720410065237651,0.5,0.14285714285714285,0.5259256974855568,0.9878727877677788,0.997131931166348,0.5,0.08064516129032258,0.691060606060606,0.9434470377019749,0.9481818181818182,0.5,0.625,0.9434470377019749,0.691060606060606,0.29610795879478935,0.3214285714285714
40,0.5054991632962456,0.9697291852099984,0.978644382544104,0.26666666666666666,0.2711864406779661,0.4596949891067538,0.9897560460449888,1.0,0.2222222222222222,0.1568627450980392,0.7638383838383839,0.9551166965888689,0.9581818181818181,0.3333333333333333,1.0,0.9551166965888689,0.7638383838383839,0.4053985898209272,0.2689265536723164
41,0.5101464254952627,0.9660232233402456,0.9748837209302326,0.3333333333333333,0.2222222222222222,0.4502507476420519,0.9876854340206146,0.9980952380952381,0.2222222222222222,0.13043478260869565,0.7897979797979797,0.9497307001795332,0.9527272727272728,0.6666666666666666,0.75,0.9497307001795332,0.7897979797979797,0.3568439171343876,0.2777777777777778
42,0.6149370685052978,0.9766110704529579,0.9838486386709737,0.5882352941176471,0.2727272727272727,0.5400916380297823,0.9901523143855966,0.9990627928772259,0.45454545454545453,0.16666666666666666,0.8508080808080809,0.966786355475763,0.9690909090909091,0.8333333333333334,0.75,0.966786355475763,0.8508080808080809,0.46029183849558564,0.4304812834224599
43,0.6125601306324198,0.9733443213142979,0.9805375347544022,0.5714285714285714,0.2857142857142857,0.5555555555555556,0.9913225613405146,1.0,0.5,0.16666666666666666,0.8761616161616161,0.9605026929982047,0.9618181818181818,0.6666666666666666,1.0,0.9605026929982047,0.8761616161616161,0.45711542038049435,0.42857142857142855
44,0.5839440382613074,0.9708146754798354,0.9786839666357738,0.625,0.14814814814814814,0.5283553875236294,0.9888835341910654,0.998109640831758,0.5,0.08695652173913043,0.7644444444444445,0.9560143626570916,0.96,0.8333333333333334,0.5,0.9560143626570916,0.7644444444444445,0.3651895258253866,0.38657407407407407
45,0.6394315153668503,0.9761698666784887,0.9829099307159354,0.6153846153846154,0.32,0.5869885982562039,0.9909510925517195,0.9990610328638497,0.5714285714285714,0.19047619047619047,0.877979797979798,0.9658886894075404,0.9672727272727273,0.6666666666666666,1.0,0.9658886894075404,0.877979797979798,0.4703801248210672,0.46769230769230774
46,0.5759121830550402,0.9699373465723811,0.9777365491651205,0.5,0.25,0.5146464646464646,0.9887642130460802,0.9981060606060606,0.4,0.14583333333333334,0.8332828282828283,0.9560143626570916,0.9581818181818181,0.6666666666666666,0.875,0.9560143626570916,0.8332828282828283,0.3945272550306426,0.375
47,0.575558088204189,0.9674963096362534,0.9753373662168451,0.5454545454545454,0.20588235294117646,0.5719044592733821,0.9905607859983491,0.9990467111534795,0.6,0.11666666666666667,0.7759090909090909,0.9497307001795332,0.9527272727272728,0.5,0.875,0.9497307001795332,0.7759090909090909,0.372038085214489,0.3756684491978609
48,0.6353236838673733,0.9760658774969142,0.9828941285251965,0.6153846153846154,0.3076923076923077,0.5844155844155844,0.9918160833780223,1.0,0.5714285714285714,0.18181818181818182,0.8776767676767676,0.9649910233393177,0.9663636363636363,0.6666666666666666,1.0,0.9649910233393177,0.8776767676767676,0.4799220690660766,0.46153846153846156
49,0.5940674096362719,0.9773336844945871,0.9847996315062183,0.45454545454545453,0.34285714285714286,0.5109516028633676,0.9888677044725731,0.9981325863678805,0.3125,0.2222222222222222,0.8517171717171718,0.9694793536804309,0.9718181818181818,0.8333333333333334,0.75,0.9694793536804309,0.8517171717171718,0.4610149923059235,0.39870129870129867
