seed,f1_macro,f1_weighted,f1_nonhab,f1_meso,f1_psychro,prec_macro,prec_weighted,prec_nonhab,prec_meso,prec_psychro,recall_macro,recall_weighted,recall_nonhab,recall_meso,recall_psychro,accuracy,balanced_acc,mcc,minority_f1_macro
0,0.793196752995748,0.9910330550695751,0.9949748743718593,0.7692307692307693,0.6153846153846154,0.7195767195767196,0.9944715169131686,1.0,0.7142857142857143,0.4444444444444444,0.9411111111111111,0.9892280071813285,0.99,0.8333333333333334,1.0,0.9892280071813285,0.9411111111111111,0.7185999174778758,0.6923076923076923
1,0.7893276031873936,0.9915132822268868,0.9954337899543378,0.7058823529411765,0.6666666666666666,0.6946386946386945,0.9942373604851164,1.0,0.5454545454545454,0.5384615384615384,0.9553030303030304,0.9901256732495511,0.990909090909091,1.0,0.875,0.9901256732495511,0.9553030303030304,0.7335199481053372,0.6862745098039216
2,0.6872769675116158,0.9877240404161816,0.9935956084172004,0.5882352941176471,0.48,0.6024955436720143,0.9924154417765148,1.0,0.45454545454545453,0.35294117647058826,0.8568686868686869,0.9847396768402155,0.9872727272727273,0.8333333333333334,0.75,0.9847396768402155,0.8568686868686869,0.6268602993545175,0.5341176470588236
3,0.6980218855218855,0.9841911031318572,0.98989898989899,0.6666666666666666,0.4375,0.5972222222222222,0.9922202274087372,1.0,0.5,0.2916666666666667,0.9516666666666667,0.9793536804308797,0.98,1.0,0.875,0.9793536804308797,0.9516666666666667,0.5963257037487738,0.5520833333333333
4,0.7095549046480173,0.9895560232831125,0.9949748743718593,0.5882352941176471,0.5454545454545454,0.6277056277056278,0.992958567464851,1.0,0.45454545454545453,0.42857142857142855,0.8577777777777778,0.9874326750448833,0.99,0.8333333333333334,0.75,0.9874326750448833,0.8577777777777778,0.664259187698888,0.5668449197860963
5,0.7257992455732568,0.9870574100863482,0.9922125515345854,0.6666666666666666,0.5185185185185185,0.6228070175438597,0.9927714258716811,1.0,0.5,0.3684210526315789,0.9531818181818181,0.9838420107719928,0.9845454545454545,1.0,0.875,0.9838420107719928,0.9531818181818181,0.6437418856656665,0.5925925925925926
6,0.7446600746006053,0.9888942963931754,0.9935956084172004,0.625,0.6153846153846154,0.6481481481481481,0.9933173748254539,1.0,0.5,0.4444444444444444,0.9402020202020203,0.9865350089766607,0.9872727272727273,0.8333333333333334,1.0,0.9865350089766607,0.9402020202020203,0.6781336184568467,0.6201923076923077
7,0.7288880413594372,0.9869813313759511,0.9922196796338673,0.75,0.4444444444444444,0.6382892715660118,0.9920219846541122,0.9990783410138249,0.6,0.3157894736842105,0.9118181818181817,0.9838420107719928,0.9854545454545455,1.0,0.75,0.9838420107719928,0.9118181818181817,0.6157327495444161,0.5972222222222222
8,0.6916971916971918,0.9861766001801909,0.9917582417582418,0.5,0.5833333333333334,0.5979067826392549,0.9915871606779674,0.9990774907749077,0.35714285714285715,0.4375,0.8976262626262627,0.9829443447037702,0.9845454545454545,0.8333333333333334,0.875,0.9829443447037702,0.8976262626262627,0.6050959106111959,0.5416666666666667
9,0.8078487676477626,0.9915328544921753,0.9949748743718593,0.6666666666666666,0.7619047619047619,0.7051282051282052,0.9945449523546471,1.0,0.5,0.6153846153846154,0.9966666666666667,0.9901256732495511,0.99,1.0,1.0,0.9901256732495511,0.9966666666666667,0.7455321090537032,0.7142857142857142
10,0.738719704405979,0.9868200253140584,0.9917582417582418,0.7058823529411765,0.5185185185185185,0.637651029620344,0.9921053281384008,0.9990774907749077,0.5454545454545454,0.3684210526315789,0.9531818181818181,0.9838420107719928,0.9845454545454545,1.0,0.875,0.9838420107719928,0.9531818181818181,0.6298726582123066,0.6122004357298475
11,0.6168430957421783,0.9819202325189511,0.9889908256880734,0.46153846153846156,0.4,0.5619929453262786,0.9897742061117286,0.9981481481481481,0.42857142857142855,0.25925925925925924,0.785,0.9766606822262118,0.98,0.5,0.875,0.9766606822262118,0.785,0.49781730911105593,0.4307692307692308
12,0.6773933632222402,0.9817967935773405,0.9880624426078971,0.75,0.29411764705882354,0.5968174682460397,0.9902133260430258,0.9981447124304267,0.6,0.19230769230769232,0.8677272727272727,0.9757630161579892,0.9781818181818182,1.0,0.625,0.9757630161579892,0.8677272727272727,0.5057660545609166,0.5220588235294118
13,0.721279139808147,0.9859837228449175,0.9912883998165979,0.7058823529411765,0.4666666666666667,0.6212121212121212,0.9926554594418149,1.0,0.5454545454545454,0.3181818181818182,0.9525757575757576,0.9820466786355476,0.9827272727272728,1.0,0.875,0.9820466786355476,0.9525757575757576,0.6235324055756793,0.5862745098039216
14,0.7259767215524261,0.9878281619635136,0.9931475559616263,0.75,0.43478260869565216,0.6438322620140802,0.9912445822679216,0.9981634527089073,0.6,0.3333333333333333,0.8710606060606061,0.9856373429084381,0.9881818181818182,1.0,0.625,0.9856373429084381,0.8710606060606061,0.6100874466306772,0.592391304347826
15,0.7258027522935779,0.9846490866865415,0.9899082568807339,0.75,0.4375,0.630246913580247,0.9918445375357403,0.9990740740740741,0.6,0.2916666666666667,0.951969696969697,0.9802513464991023,0.980909090909091,1.0,0.875,0.9802513464991023,0.951969696969697,0.5908416004891579,0.59375
16,0.6980218855218855,0.9841911031318572,0.98989898989899,0.6666666666666666,0.4375,0.5972222222222222,0.9922202274087372,1.0,0.5,0.2916666666666667,0.9516666666666667,0.9793536804308797,0.98,1.0,0.875,0.9793536804308797,0.9516666666666667,0.5963257037487738,0.5520833333333333
17,0.7575624619134674,0.9879677956144006,0.9926873857404022,0.8,0.48,0.6725898692810457,0.9917427922695109,0.9981617647058824,0.6666666666666666,0.35294117647058826,0.9124242424242425,0.9856373429084381,0.9872727272727273,1.0,0.75,0.9856373429084381,0.9124242424242425,0.6245457556816825,0.64
18,0.7696978481401304,0.9901902626309428,0.9945155393053017,0.7058823529411765,0.6086956521739131,0.6707070707070707,0.9937217779228551,1.0,0.5454545454545454,0.4666666666666667,0.9546969696969697,0.9883303411131059,0.9890909090909091,1.0,0.875,0.9883303411131059,0.9546969696969697,0.7042127343622987,0.6572890025575449
19,0.6642246642246642,0.9864823985111237,0.9926739926739927,0.5,0.5,0.5773809523809524,0.9920492433957425,1.0,0.35714285714285715,0.375,0.8562626262626263,0.9829443447037702,0.9854545454545455,0.8333333333333334,0.75,0.9829443447037702,0.8562626262626263,0.6050959106111959,0.5
20,0.7092829575462116,0.9890787790866234,0.9945155393053017,0.6,0.5333333333333333,0.7045454545454546,0.994083564550351,1.0,0.75,0.36363636363636365,0.8296969696969697,0.9865350089766607,0.9890909090909091,0.5,1.0,0.9865350089766607,0.8296969696969697,0.651625634797639,0.5666666666666667
21,0.7443184316254259,0.9879782798643981,0.9926806953339433,0.631578947368421,0.6086956521739131,0.6424281059640177,0.9923605680055484,0.9990791896869244,0.46153846153846156,0.4666666666666667,0.9537878787878787,0.9856373429084381,0.9863636363636363,1.0,0.875,0.9856373429084381,0.9537878787878787,0.652487862221624,0.620137299771167
22,0.7311985361390668,0.9885294756962183,0.9935956084172004,0.6666666666666666,0.5333333333333333,0.6767676767676768,0.9936347315162397,1.0,0.6666666666666666,0.36363636363636365,0.8846464646464646,0.9856373429084381,0.9872727272727273,0.6666666666666666,1.0,0.9856373429084381,0.8846464646464646,0.6528382382126257,0.6
23,0.7039800055739857,0.9849233452688032,0.9903713892709766,0.5882352941176471,0.5333333333333333,0.6057522496005382,0.9915788036967144,0.9990749306197965,0.45454545454545453,0.36363636363636365,0.9383838383838384,0.981149012567325,0.9818181818181818,0.8333333333333334,1.0,0.981149012567325,0.9383838383838384,0.5998851290790733,0.5607843137254902
24,0.7952325452325453,0.9876727102938954,0.9917582417582418,0.9090909090909091,0.48484848484848486,0.7730258302583025,0.9942057808369825,0.9990774907749077,1.0,0.32,0.9392929292929293,0.9838420107719928,0.9845454545454545,0.8333333333333334,1.0,0.9838420107719928,0.9392929292929293,0.6304153296032776,0.696969696969697
25,0.7357117676091095,0.9869379112298575,0.9917506874427131,0.6,0.6153846153846154,0.6243386243386243,0.9929326607962158,1.0,0.42857142857142855,0.4444444444444444,0.9945454545454545,0.9838420107719928,0.9836363636363636,1.0,1.0,0.9838420107719928,0.9945454545454545,0.6573522377294828,0.6076923076923078
26,0.747917105725325,0.9896121969076395,0.9945205479452055,0.7692307692307693,0.48,0.6887698198545474,0.9929085003460973,0.9990825688073395,0.7142857142857143,0.35294117647058826,0.8577777777777778,0.9874326750448833,0.99,0.8333333333333334,0.75,0.9874326750448833,0.8577777777777778,0.6507216698839446,0.6246153846153846
27,0.8341008476791224,0.992537381952379,0.9958922866271109,0.9230769230769231,0.5833333333333334,0.7648809523809524,0.9951910746345216,1.0,0.8571428571428571,0.4375,0.9556060606060606,0.9910233393177738,0.9918181818181818,1.0,0.875,0.9910233393177738,0.9556060606060606,0.7496814691840187,0.7532051282051282
28,0.7603807445984939,0.9881117209829712,0.9926806953339433,0.75,0.5384615384615384,0.6626560261919378,0.9925477735787502,0.9990791896869244,0.6,0.3888888888888889,0.9537878787878787,0.9856373429084381,0.9863636363636363,1.0,0.875,0.9856373429084381,0.9537878787878787,0.6525098191569034,0.6442307692307692
29,0.7515599169920159,0.9882834165831704,0.9931412894375857,0.8,0.46153846153846156,0.666360012266176,0.9925087137747286,0.9990800367985281,0.6666666666666666,0.3333333333333333,0.9124242424242425,0.9856373429084381,0.9872727272727273,1.0,0.75,0.9856373429084381,0.9124242424242425,0.6386909274125753,0.6307692307692307
30,0.8397477712546205,0.9923279707593913,0.9954337899543378,0.8571428571428571,0.6666666666666666,0.75,0.9950628366247756,1.0,0.75,0.5,0.9969696969696971,0.9910233393177738,0.990909090909091,1.0,1.0,0.9910233393177738,0.9969696969696971,0.7612204661180786,0.7619047619047619
31,0.7430147772325265,0.9880068886519269,0.9926806953339433,0.6,0.6363636363636364,0.6425502060861177,0.9924223853025542,0.9990791896869244,0.42857142857142855,0.5,0.9537878787878787,0.9856373429084381,0.9863636363636363,1.0,0.875,0.9856373429084381,0.9537878787878787,0.6525231931650041,0.6181818181818182
32,0.7981718464351006,0.9909938000321651,0.9945155393053017,0.6,0.8,0.6984126984126985,0.9945285115841669,1.0,0.42857142857142855,0.6666666666666666,0.9963636363636365,0.9892280071813285,0.9890909090909091,1.0,1.0,0.9892280071813285,0.9963636363636365,0.7308850638076656,0.7
33,0.8031467998546189,0.9902912383485116,0.994055784179241,0.8,0.6153846153846154,0.7037037037037036,0.9942150408936765,1.0,0.6666666666666666,0.4444444444444444,0.9960606060606061,0.9883303411131059,0.9881818181818182,1.0,1.0,0.9883303411131059,0.9960606060606061,0.7169524614527903,0.7076923076923077
34,0.781466043535009,0.9884696454621545,0.9926739926739927,0.8,0.5517241379310345,0.6825396825396824,0.9937590835256903,1.0,0.6666666666666666,0.38095238095238093,0.9951515151515151,0.9856373429084381,0.9854545454545455,1.0,1.0,0.9856373429084381,0.9951515151515151,0.6795344129185213,0.6758620689655173
35,0.7832745174922668,0.98841258708276,0.9926806953339433,0.8571428571428571,0.5,0.6996930632289748,0.9930763991522592,0.9990791896869244,0.75,0.35,0.9537878787878787,0.9856373429084381,0.9863636363636363,1.0,0.875,0.9856373429084381,0.9537878787878787,0.6526312094286792,0.6785714285714286
36,0.7467643467643468,0.9878759182170312,0.9926739926739927,0.7142857142857143,0.5333333333333333,0.662878787878788,0.993410314999184,1.0,0.625,0.36363636363636365,0.9395959595959597,0.9847396768402155,0.9854545454545455,0.8333333333333334,1.0,0.9847396768402155,0.9395959595959597,0.6548409760291896,0.6238095238095238
37,0.7526543492645188,0.986498521160603,0.9912963811268896,0.8,0.4666666666666667,0.6613083746047735,0.9923965506354343,0.9990766389658357,0.6666666666666666,0.3181818181818182,0.9528787878787878,0.9829443447037702,0.9836363636363636,1.0,0.875,0.9829443447037702,0.9528787878787878,0.6195100399577351,0.6333333333333333
38,0.8116655794737987,0.9908277617138688,0.9945205479452055,0.8571428571428571,0.5833333333333334,0.7288608562691131,0.993708102053926,0.9990825688073395,0.75,0.4375,0.9550000000000001,0.9892280071813285,0.99,1.0,0.875,0.9892280071813285,0.9550000000000001,0.705940179334797,0.7202380952380952
39,0.6436448603317849,0.9841799788556215,0.9908256880733946,0.5263157894736842,0.41379310344827586,0.5567765567765567,0.9915560202813345,1.0,0.38461538461538464,0.2857142857142857,0.8550505050505052,0.9793536804308797,0.9818181818181818,0.8333333333333334,0.75,0.9793536804308797,0.8550505050505052,0.5674033224371202,0.47005444646098005
40,0.695855822321484,0.989419302109323,0.9949748743718593,0.5,0.5925925925925926,0.6403508771929824,0.9931493905319854,1.0,0.5,0.42105263157894735,0.8300000000000001,0.9874326750448833,0.99,0.5,1.0,0.9874326750448833,0.8300000000000001,0.6645016523921565,0.5462962962962963
41,0.7028419682740671,0.9875652837285924,0.9931412894375857,0.6153846153846154,0.5,0.6401695360756999,0.9921154505448404,0.9990800367985281,0.5714285714285714,0.35,0.8429797979797979,0.9847396768402155,0.9872727272727273,0.6666666666666666,0.875,0.9847396768402155,0.8429797979797979,0.6127385152876523,0.5576923076923077
42,0.7410470964791953,0.9881466951358566,0.9931412894375857,0.75,0.48,0.6506737377563722,0.9922904577110822,0.9990800367985281,0.6,0.35294117647058826,0.9124242424242425,0.9856373429084381,0.9872727272727273,1.0,0.75,0.9856373429084381,0.9124242424242425,0.6386512039322805,0.615
43,0.7637163127359207,0.9882562179531236,0.9926739926739927,0.7058823529411765,0.5925925925925926,0.6555023923444976,0.9933942085505915,1.0,0.5454545454545454,0.42105263157894735,0.9951515151515151,0.9856373429084381,0.9854545454545455,1.0,1.0,0.9856373429084381,0.9951515151515151,0.6794157028531673,0.6492374727668846
44,0.6843100548857595,0.9871549124123468,0.9931475559616263,0.625,0.43478260869565216,0.6104989286807468,0.9907059826269881,0.9981634527089073,0.5,0.3333333333333333,0.8155050505050504,0.9847396768402155,0.9881818181818182,0.8333333333333334,0.625,0.9847396768402155,0.8155050505050504,0.583001625829363,0.529891304347826
