seed,f1_macro,f1_weighted,f1_nonhab,f1_meso,f1_psychro,prec_macro,prec_weighted,prec_nonhab,prec_meso,prec_psychro,recall_macro,recall_weighted,recall_nonhab,recall_meso,recall_psychro,accuracy,balanced_acc,mcc,minority_f1_macro
0,0.605570944906125,0.9761078260235302,0.9833795013850416,0.5,0.3333333333333333,0.5206957079266978,0.9899084569408014,0.99906191369606,0.35714285714285715,0.20588235294117646,0.8921717171717173,0.966786355475763,0.9681818181818181,0.8333333333333334,0.875,0.966786355475763,0.8921717171717173,0.4748047946761978,0.41666666666666663
1,0.606494059446089,0.9770897802690419,0.9843173431734318,0.47619047619047616,0.358974358974359,0.5194011517860738,0.9899250350683004,0.9990636704119851,0.3333333333333333,0.22580645161290322,0.8927777777777778,0.9685816876122083,0.97,0.8333333333333334,0.875,0.9685816876122083,0.8927777777777778,0.4853544583174321,0.41758241758241754
2,0.6061055602464271,0.9815527685995585,0.9889705882352942,0.5263157894736842,0.30303030303030304,0.5282051282051282,0.9909404778345532,1.0,0.38461538461538464,0.2,0.8121717171717172,0.9748653500897666,0.9781818181818182,0.8333333333333334,0.625,0.9748653500897666,0.8121717171717172,0.5137505219413148,0.41467304625199364
3,0.5470652906337553,0.976405259507534,0.9847856154910097,0.4,0.2564102564102564,0.4820230515332962,0.989206112415067,0.9990645463049579,0.2857142857142857,0.16129032258064516,0.7541919191919192,0.966786355475763,0.9709090909090909,0.6666666666666666,0.625,0.966786355475763,0.7541919191919192,0.42993777170708436,0.3282051282051282
4,0.6317081521303641,0.9835588160483131,0.9903625516291877,0.47619047619047616,0.42857142857142855,0.5444444444444444,0.9913824057450629,1.0,0.3333333333333333,0.3,0.8547474747474748,0.9784560143626571,0.980909090909091,0.8333333333333334,0.75,0.9784560143626571,0.8547474747474748,0.5589854124343695,0.45238095238095233
5,0.595079950799508,0.9778849529967473,0.985239852398524,0.4,0.4,0.5074723846653671,0.9907118684403009,1.0,0.2631578947368421,0.25925925925925924,0.893080808080808,0.9694793536804309,0.9709090909090909,0.8333333333333334,0.875,0.9694793536804309,0.893080808080808,0.505378208553484,0.4
6,0.5738113766253793,0.9756817435097863,0.9833641404805915,0.34782608695652173,0.3902439024390244,0.49257278669043375,0.9904408964499788,1.0,0.23529411764705882,0.24242424242424243,0.877979797979798,0.9658886894075404,0.9672727272727273,0.6666666666666666,1.0,0.9658886894075404,0.877979797979798,0.48403110874271776,0.36903499469777307
7,0.5850233005921628,0.9770572323330361,0.9847996315062183,0.5,0.2702702702702703,0.509229745538062,0.9887504600469958,0.9981325863678805,0.35714285714285715,0.1724137931034483,0.810050505050505,0.9685816876122083,0.9718181818181818,0.8333333333333334,0.625,0.9685816876122083,0.810050505050505,0.4402778996554017,0.38513513513513514
8,0.5573405454135677,0.9776536380663824,0.9857471264367816,0.35294117647058826,0.3333333333333333,0.49474076311285614,0.9876848132035808,0.9972093023255814,0.2727272727272727,0.21428571428571427,0.7415151515151516,0.9703770197486535,0.9745454545454545,0.5,0.75,0.9703770197486535,0.7415151515151516,0.419772231758746,0.3431372549019608
9,0.6628387689480938,0.9822185520111973,0.9885163068442812,0.5882352941176471,0.4117647058823529,0.5742825728898152,0.9908974535580459,0.9990714948932219,0.45454545454545453,0.2692307692307692,0.8955050505050505,0.9766606822262118,0.9781818181818182,0.8333333333333334,0.875,0.9766606822262118,0.8955050505050505,0.5433353138498529,0.5
10,0.6765305293769601,0.9816207691740887,0.9875747814081914,0.5714285714285714,0.47058823529411764,0.5692307692307692,0.9917967131611658,1.0,0.4,0.3076923076923077,0.9918181818181818,0.9757630161579892,0.9754545454545455,1.0,1.0,0.9757630161579892,0.9918181818181818,0.5789682441346736,0.5210084033613445
11,0.603186126235128,0.981260990028467,0.9885057471264368,0.4,0.42105263157894735,0.5333333333333333,0.9911430281268703,1.0,0.3333333333333333,0.26666666666666666,0.8257575757575758,0.9748653500897666,0.9772727272727273,0.5,1.0,0.9748653500897666,0.8257575757575758,0.5289662490254091,0.4105263157894737
12,0.5745303274288781,0.9717242416094966,0.9796296296296296,0.5217391304347826,0.2222222222222222,0.4953965063842977,0.9884409842385917,0.9981132075471698,0.35294117647058826,0.13513513513513514,0.8622727272727273,0.9596050269299821,0.9618181818181818,1.0,0.625,0.9596050269299821,0.8622727272727273,0.40917525049068176,0.3719806763285024
13,0.5877484378644472,0.9716750766865945,0.9791183294663574,0.42857142857142855,0.35555555555555557,0.4963144963144963,0.9904543028420948,1.0,0.2727272727272727,0.21621621621621623,0.9863636363636363,0.9596050269299821,0.9590909090909091,1.0,1.0,0.9596050269299821,0.9863636363636363,0.4796043553439827,0.39206349206349206
14,0.5982395856922031,0.9743718197956512,0.981952799629801,0.6,0.2127659574468085,0.518925518925519,0.9906616423672081,1.0,0.42857142857142855,0.1282051282051282,0.8631818181818183,0.9622980251346499,0.9645454545454546,1.0,0.625,0.9622980251346499,0.8631818181818183,0.4509687104666364,0.40638297872340423
15,0.5225926630795227,0.9691530821400718,0.9777158774373259,0.2857142857142857,0.30434782608695654,0.4550266471768519,0.988797980285169,0.9990512333965844,0.18181818181818182,0.18421052631578946,0.832979797979798,0.9551166965888689,0.9572727272727273,0.6666666666666666,0.875,0.9551166965888689,0.832979797979798,0.40461742036128684,0.2950310559006211
16,0.5091186997347257,0.9711219846883092,0.9800833719314498,0.32,0.22727272727272727,0.4494903058716984,0.9886315558673735,0.9990557129367328,0.21052631578947367,0.1388888888888889,0.7511616161616161,0.9578096947935368,0.9618181818181818,0.6666666666666666,0.625,0.9578096947935368,0.7511616161616161,0.38671921757311245,0.2736363636363636
17,0.5558979863027701,0.9761490318364527,0.984360625574977,0.4166666666666667,0.26666666666666666,0.4852905216033708,0.9865568921515082,0.9962756052141527,0.2777777777777778,0.18181818181818182,0.7686868686868688,0.9685816876122083,0.9727272727272728,0.8333333333333334,0.5,0.9685816876122083,0.7686868686868688,0.3926229819469281,0.3416666666666667
18,0.6415009407061175,0.9823235427908605,0.9889705882352942,0.5217391304347826,0.41379310344827586,0.5462184873949579,0.9913854231099979,1.0,0.35294117647058826,0.2857142857142857,0.9093939393939393,0.9766606822262118,0.9781818181818182,1.0,0.75,0.9766606822262118,0.9093939393939393,0.5578426485107287,0.46776611694152925
19,0.5470587416259568,0.9755856984338531,0.9838486386709737,0.3448275862068966,0.3125,0.47492914351946175,0.9891742250069141,0.9990627928772259,0.21739130434782608,0.20833333333333334,0.8091414141414143,0.9658886894075404,0.9690909090909091,0.8333333333333334,0.625,0.9658886894075404,0.8091414141414143,0.4401093026799752,0.3286637931034483
20,0.5720858106725757,0.9772078257903926,0.9847996315062183,0.2608695652173913,0.47058823529411764,0.4940984940984941,0.988748839313841,0.9981325863678805,0.17647058823529413,0.3076923076923077,0.8239393939393939,0.9694793536804309,0.9718181818181818,0.5,1.0,0.9694793536804309,0.8239393939393939,0.4610027258539792,0.36572890025575444
21,0.6000057895498625,0.9723109736656036,0.9795918367346939,0.48,0.3404255319148936,0.5069725596041386,0.9906066090512844,1.0,0.3157894736842105,0.20512820512820512,0.9866666666666667,0.9605026929982047,0.96,1.0,1.0,0.9605026929982047,0.9866666666666667,0.48398442306779577,0.4102127659574468
22,0.6589242207657936,0.9821548624438182,0.988537368179734,0.5882352941176471,0.4,0.5748325063773723,0.9890990681817051,0.9972247918593895,0.45454545454545453,0.2727272727272727,0.8544444444444445,0.9775583482944344,0.98,0.8333333333333334,0.75,0.9775583482944344,0.8544444444444445,0.505296023092649,0.49411764705882355
23,0.5801470136750787,0.9686106956365176,0.9762900976290098,0.5,0.2641509433962264,0.49597913803432353,0.9894055854397976,0.9990485252140818,0.3333333333333333,0.15555555555555556,0.9431818181818182,0.9542190305206463,0.9545454545454546,1.0,0.875,0.9542190305206463,0.9431818181818182,0.4290928350867052,0.3820754716981132
24,0.644632221342018,0.9748231571771329,0.9815157116451017,0.6666666666666666,0.2857142857142857,0.5748025212081694,0.9897948992988667,0.9981203007518797,0.5555555555555556,0.17073170731707318,0.8912626262626263,0.9640933572710951,0.9654545454545455,0.8333333333333334,0.875,0.9640933572710951,0.8912626262626263,0.44589458137863747,0.47619047619047616
25,0.5773118563506734,0.9756121930880424,0.9833641404805915,0.42857142857142855,0.32,0.5218253968253969,0.9908202958023425,1.0,0.375,0.19047619047619047,0.8224242424242424,0.9649910233393177,0.9672727272727273,0.5,1.0,0.9649910233393177,0.8224242424242424,0.465365718950541,0.3742857142857143
