seed,f1_macro,f1_weighted,f1_nonhab,f1_meso,f1_psychro,prec_macro,prec_weighted,prec_nonhab,prec_meso,prec_psychro,recall_macro,recall_weighted,recall_nonhab,recall_meso,recall_psychro,accuracy,balanced_acc,mcc,minority_f1_macro
0,0.7134227097298395,0.9881522520423134,0.993601462522852,0.6666666666666666,0.48,0.6358592047930284,0.9920519150209453,0.9990808823529411,0.5555555555555556,0.35294117647058826,0.8571717171717171,0.9856373429084381,0.9881818181818182,0.8333333333333334,0.75,0.9856373429084381,0.8571717171717171,0.6245457556816825,0.5733333333333333
1,0.7825688390756884,0.9915128821974446,0.9954337899543378,0.625,0.7272727272727273,0.6904761904761904,0.9942292895614261,1.0,0.5,0.5714285714285714,0.9414141414141414,0.9901256732495511,0.990909090909091,0.8333333333333334,1.0,0.9901256732495511,0.9414141414141414,0.7335121707353514,0.6761363636363636
2,0.6844418960244649,0.984881738672113,0.9908256880733946,0.625,0.4375,0.5972222222222222,0.9922202274087372,1.0,0.5,0.2916666666666667,0.8967171717171718,0.9802513464991023,0.9818181818181818,0.8333333333333334,0.875,0.9802513464991023,0.8967171717171718,0.5908416004891579,0.53125
3,0.7066745890275302,0.9843071116700857,0.98989898989899,0.7058823529411765,0.42424242424242425,0.6084848484848485,0.992381263260976,1.0,0.5454545454545454,0.28,0.9516666666666667,0.9793536804308797,0.98,1.0,0.875,0.9793536804308797,0.9516666666666667,0.596384174346875,0.5650623885918004
4,0.7280425269149194,0.9908536149502045,0.9958922866271109,0.5882352941176471,0.6,0.6515151515151515,0.9934715195038355,1.0,0.45454545454545453,0.5,0.8583838383838384,0.9892280071813285,0.9918181818181818,0.8333333333333334,0.75,0.9892280071813285,0.8583838383838384,0.6931538010457289,0.5941176470588235
5,0.7943833943833943,0.9886453462755077,0.9926739926739927,0.8571428571428571,0.5333333333333333,0.7045454545454546,0.994083564550351,1.0,0.75,0.36363636363636365,0.9951515151515151,0.9856373429084381,0.9854545454545455,1.0,1.0,0.9856373429084381,0.9951515151515151,0.6796249961180839,0.6952380952380952
6,0.6993804298125287,0.9874734455846896,0.9931412894375857,0.625,0.48,0.6173404044230387,0.9917518580701487,0.9990800367985281,0.5,0.35294117647058826,0.8568686868686869,0.9847396768402155,0.9872727272727273,0.8333333333333334,0.75,0.9847396768402155,0.8568686868686869,0.61256756112613,0.5525
7,0.7304321270422965,0.9860197659242176,0.9912963811268896,0.8,0.4,0.6461568594532584,0.9920701266106262,0.9990766389658357,0.6666666666666666,0.2727272727272727,0.9112121212121211,0.9820466786355476,0.9836363636363636,1.0,0.75,0.9820466786355476,0.9112121212121211,0.5951236730138157,0.6000000000000001
8,0.7301774696048041,0.9886540267120595,0.993601462522852,0.5882352941176471,0.6086956521739131,0.6400976678550209,0.9923245750887264,0.9990808823529411,0.45454545454545453,0.4666666666666667,0.8988383838383838,0.9865350089766607,0.9881818181818182,0.8333333333333334,0.875,0.9865350089766607,0.8988383838383838,0.6510772029291099,0.5984654731457801
9,0.803882042699934,0.9913022808884941,0.9949794614331355,0.75,0.6666666666666666,0.7125149827257985,0.9936260709112522,0.999083409715857,0.6,0.5384615384615384,0.9553030303030304,0.9901256732495511,0.990909090909091,1.0,0.875,0.9901256732495511,0.9553030303030304,0.7213482619013613,0.7083333333333333
10,0.7322954822954822,0.9867520271470003,0.9917582417582418,0.6666666666666666,0.5384615384615384,0.6293221265545988,0.9920074963765796,0.9990774907749077,0.5,0.3888888888888889,0.9531818181818181,0.9838420107719928,0.9845454545454545,1.0,0.875,0.9838420107719928,0.9531818181818181,0.6298497795435744,0.6025641025641025
11,0.7202408169486358,0.9887444906617281,0.994055784179241,0.6666666666666666,0.5,0.7777777777777778,0.9952124476361461,1.0,1.0,0.3333333333333333,0.8293939393939395,0.9856373429084381,0.9881818181818182,0.5,1.0,0.9856373429084381,0.8293939393939395,0.6393856314641642,0.5833333333333333
12,0.7178482068390326,0.9843879474666949,0.9899082568807339,0.8,0.36363636363636365,0.6352469135802469,0.9918325686548308,0.9990740740740741,0.6666666666666666,0.24,0.9103030303030303,0.9793536804308797,0.980909090909091,1.0,0.75,0.9793536804308797,0.9103030303030303,0.5676043611855939,0.5818181818181818
