main_id,sp_type,rvz_radvel,rvz_type,query_id
*  11 Com,G8+IIIFe-1,43.25,v,*  11 Com
*  11 UMi,K4III,-17.3906,v,*  11 UMi
*  14 And,G8III,-59.824,v,*  14 And
*  14 Her,K0V,-13.75,v,*  14 Her
*  16 Cyg B,G3V,-27.73,v,*  16 Cyg B
* chi Sco,K3III,-23.1714,v,*  17 Sco
*  18 Del,G6III,4.35,v,*  18 Del
RX J1609.5-2105,M0.0e,-6.69313,v,1RXS J160929.1-210524
* g Boo,G4III-IVFe-1,-8.12,v,*  24 Boo
*  24 Sex,K0IV,7.29,v,*  24 Sex
[PS78] 191,M3.5V,11.4,v,2MASS J01225093-2439505
2MASS J02192210-3925225,M6+L4,10.6,v,2MASS J02192210-3925225
2MASS J03590986+2009361,M4.75,,,2MASS J03590986+2009361
2MASS J04372171+2651014,M4,,,2MASS J04372171+2651014
2MASS J04414489+2301513,M8.7,,,2MASS J04414489+2301513
2MASS J11011926-7732383,M7+M8,,,2MASS J11011926-7732383
NAME T Cha B,M3,,,2MASS J11550485-7919108
TWA 27,M8IVe,7.5,v,2MASS J12073346-3932539
UCAC4 318-090278,M4.5,,,2MASS J16262785-2625152
Kepler-451,sdB+dM,26.61,v,2MASS J19383260+4603591
ASAS J212528-8138.5,M1Ve,8.7,v,2MASS J21252752-8138278
PM J22364+4751,,-21.02,v,2MASS J22362452+4751425
[SLS2012] PYC J22502+2325,,,,2MASS J22501512+2325342
*  47 UMa,G1-VFe-0.5,11.142,v,*  47 UMa
* pi.02 UMa,K1+III,14.6322,v,*   4 UMa
*  51 Eri,F0IV,12.6,v,*  51 Eri
*  51 Peg,G2IV,-33.165,v,*  51 Peg
* rho01 Cnc,K0IV-V,27.394,v,*  55 Cnc
* rho01 Cnc B,M4.5V,27.3943,v,*  55 Cnc B
*  61 Vir,G6.5V,-7.824,v,*  61 Vir
*   6 Lyn,K0.5IIIbFe0.5,40.083698,v,*   6 Lyn
*  70 Vir,G4Va,5.017,v,*  70 Vir
*  75 Cet,K1III,-6.21,v,*  75 Cet
* nu.02 CMa,K1.5III-IVFe1,2.57,v,*   7 CMa
*  81 Cet,K0III,9.222,v,*  81 Cet
*   8 UMi,K0,-9.2,v,*   8 UMi
* psi01 Aqr,K1-IIIFe-0.5,-26.008,v,*  91 Aqr
BD+03  2562,K2,50.88,v,BD+03  2562
BD+05  4868,K5:,-25.38,v,BD+05  4868A
BD-06  1339,K7V/M0V,23.287,v,BD-06  1339
BD-08  2823,K4:V,53.279,v,BD-08  2823
BD-10  3166,K3.0V,26.94,v,BD-10  3166
BD-11  4672,K7V,-87.515,v,BD-11  4672
BD-13  2130,G5IV-V/K2III,18.127,v,BD-13  2130
BD+14  4559,K5,-44.46,v,BD+14  4559
BD+15  2375,G5,-9.65,v,BD+15  2375
BD+15  2940,K0,38.05,v,BD+15  2940
BD-17    63,K4Vk:,2.896,v,BD-17    63
BD+20  2457,K2,145.77,v,BD+20  2457
BD+20   274,G5,5.56,v,BD+20   274
BD+20   594,F9,-20.61,v,BD+20   594
BD-21   397,K7V,2.983,v,BD-21   397
BD+37  3172,K2,-52.4,v,BD+37  3172
BD+42  2315,K0,-32.913601,v,BD+42  2315
BD+45   564,K1,-7.38,v,BD+45   564
BD+48   738,K0III,-6.31,v,BD+48   738
BD+48   740,K3III,-46.32,v,BD+48   740
BD+49   828,K0,3.35,v,BD+49   828
BD+55   362,K3,-25.51,v,BD+55   362
BD+60  1417,K0,-10.12,v,BD+60  1417
BD+63  1405,K0,-15.36,v,BD+63  1405
BD+79   230,G5,16.88,v,BEBOP-3
CD-35  2722,M1Ve,31.835,v,CD-35  2722
CFBDS J145829+101343,T8+Y0,,,CFBDSIR J145829+101343
CHXR 73,M3e,,,CHXR 73
CoRoT-1,G0V,23.498,v,CoRoT-1
CoRoT-10,K1V,15.239,v,CoRoT-10
CoRoT-11,F6V,9.27,v,CoRoT-11
CoRoT-12,G2V,12.163,v,CoRoT-12
CoRoT-13,G0V,22.325,v,CoRoT-13
CoRoT-14,,,,CoRoT-14
CoRoT-16,G5V,,,CoRoT-16
CoRoT-17,,,,CoRoT-17
CoRoT-18,,,,CoRoT-18
CoRoT-19,,,,CoRoT-19
CoRoT-2,G7V+K9V,16.65,v,CoRoT-2
CoRoT-20,,,,CoRoT-20
CoRoT-21,G8V,,,CoRoT-21
CoRoT-22,G8V,,,CoRoT-22
CoRoT-23,,,,CoRoT-23
CoRoT-24,,,,CoRoT-24
CoRoT-25,,-15.459,v,CoRoT-25
CoRoT-26,,15.485,v,CoRoT-26
CoRoT-27,,,,CoRoT-27
CoRoT 652180991,G8/9IV,-76.6,v,CoRoT-28
CoRoT-29,K0V,,,CoRoT-29
CoRoT-3,F3V,-52.93,v,CoRoT-3
CoRoT-30,G3V,,,CoRoT-30
CoRoT-31,G2IV,,,CoRoT-31
CoRoT-32,K0V,16.9307,v,CoRoT-32
CoRoT-35,,,,CoRoT-35
CoRoT-36,,,,CoRoT-36
CoRoT-4,F0V,,,CoRoT-4
CoRoT-5,F9V,,,CoRoT-5
CoRoT-6,F5V,-18.399,v,CoRoT-6
CoRoT-7,K0V,31.11,v,CoRoT-7
CoRoT-8,K1V,-37.549,v,CoRoT-8
CoRoT-9,G3V,20.144199,v,CoRoT-9
DENIS J082303.1-491201,L1.5,13.0,v,DENIS J082303.1-491201
HD  38677,F8V,28.61,v,DMPP-1
HD  11231,F5V,8.27,v,DMPP-2
HD 184960,F7V,0.647,v,DMPP-4
K2-327,,,,EPIC 201170410
K2-296,,,,EPIC 201238110
K2-297,K5,-14.7507,v,EPIC 201497682
K2-360,,1.57,v,EPIC 201595106
K2-328,,,,EPIC 201757695
K2-298,K3,1.524,v,EPIC 201841433
K2-299,,53.4111,v,EPIC 206024342
K2-300,M2V,,,EPIC 206032309
K2-301,K5V,,,EPIC 206042996
K2-302,M4V,,,EPIC 206215704
K2-303,K1V,-17.6193,v,EPIC 206317286
K2-103,K7V,36.2119305876328,v,EPIC 211822797
BD+19  2158,F8,0.705,v,EPIC 211945201
K2-304,,,,EPIC 212297394
K2-305,,,,EPIC 212424622
K2-306,,,,EPIC 212499991
K2-307,,-12.679,v,EPIC 212587672
K2-361,,-53.688,v,EPIC 212624936
K2-310,K3V,,,EPIC 212737443
K2-362,,-19.13,v,EPIC 220492298
K2-106,,-15.4703,v,EPIC 220674823
K2-363,,,,EPIC 228836835
K2-418,,-30.08,v,EPIC 229004835
K2-267,,39.05,v,EPIC 246851721
K2-311,G9,30.58,v,EPIC 248847494
K2-314,,21.360001,v,EPIC 249893012
G 192-15,M5.0V,20.544,v,G 192-15
G 196-3,M3.0V,-1.64,v,G 196-3
G 261-6,M6V,-18.7169,v,G 261-6
G 264-12,M4.0V,5.973,v,G 264-12
G 268-110,dM5.0,11.585,v,G 268-110
G   9-40,M2V,15.2596,v,G   9-40
G 158-27,M5.5V,-33.7,v,GJ 1002
L  372-58,M5.5V,1.035,v,GJ 1061
L  320-124,M3.5V,35.007,v,GJ 1132
Ross 1003,M4.0V,-8.99,v,GJ 1148
G 122-49,M4.5V,-35.12,v,GJ 1151
G 139-21,M4.5V,16.0,v,GJ 1214
L  210-70,M2.5V,7.34,v,GJ 1252
L  788-37,dM4.5,24.0,v,GJ 1265
G 130-4,M4.5Ve,-2.52,v,GJ 1289
HD  21749,K4.5V,59.54,v,GJ 143
HD   1326,M2V,11.73,v,GJ 15 A
BD-21   784,K7V,25.197,v,GJ 160.2
L  229-91,M3.5V,36.9,v,GJ 163
Wolf 1539,M2V,-8.6,v,GJ 179
L  736-30,M3V,-14.478,v,GJ 180
HD  21019,G5/6V,41.63,v,GJ 2030
CD-24  5005,M0,42.09,v,GJ 2056
CD-35 11361,M0,-14.159,v,GJ 2126
HD  42581,M1V,4.63,v,GJ 229
L  182-44,M2.5V,26.07,v,GJ 238
HD 265866,M3V,23.04,v,GJ 251
CD-44   170,M4V,12.323,v,GJ 27.1
BD+05  1668,M3.5V,18.36,v,GJ 273
HD   1237,G8V,-6.07,v,GJ 3021
CD-54   269,M3V,6.931,v,GJ 3082
CD-47   399,M3V,16.35,v,GJ 3090
BD-17   400,K9Vk:,13.153,v,GJ 3138
L  675-81,M3.5V,87.94,v,GJ 317
HD  21175,K0V,12.19,v,GJ 3222
BD+02  2098,M0V,-3.731,v,GJ 328
L  591-6,M2.5V,13.116,v,GJ 3293
LP  656-38,M4.0Ve,42.49,v,GJ 3323
CD-31  2312,M2.5V,47.624,v,GJ 3341
